"Číslo projektu","Soutěž","Komise","Uchazeč","Fakulta","Klíčová slova","Trvání","Název"
"20-08959S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Mikrobiologický ústav AV ČR, v.v.i.",,"dieta; mikrobiom; zánět; cytochrom P450; prostaglandiny",3,"Vliv diety a mikrobioty na zánět a související metabolismus léčiv"
"20-08963S","Standardní projekty – 2020","Oborová komise technických věd","Vysoká škola báňská - Technická univerzita Ostrava","Fakulta strojní","hydrofobní povrchy;skluzové okr.podmínky;Navier-Stokesovy rovnice;optimalizace;nehladká Newtonova metoda;paralelní implementace",3,"Vývoj efektivních a spolehlivých technik pro modelování hydrofobních povrchů pomocí skluzových okrajových podmínek s prahovou hodnotou"
"20-08971S","Standardní projekty – 2020","Oborová komise technických věd","Ústav anorganické chemie AV ČR, v.v.i.",,"iontová kapalina obsahující kov;katalyzátor;2D materiály;polymerizace",3,"2D materiály s iontovou kapalinou obsahující kov jako heterogenní katalyzátory pro polymerizace za otevření kruhu"
"20-08992S","Standardní projekty – 2020","Oborová komise technických věd","Vysoká škola báňská - Technická univerzita Ostrava","Centrum nanotechnologií","plazmonika;nanomagnetizmus;magnetofotonické prvky;optická magnetometrie;nereciproční šíření;2D gyrotropní vlnovody;detekce terahertzových proudů;magnetoplazmon;jednocestné struktury",3,"Optika a plazmonika nanostruktur s indukovanou anisotropií"
"20-09001X","EXPRO - 2020","EXPRO","Fyzikální ústav AV ČR, v.v.i.",,"nanokrystaly;elektronová difrakce;léčiva;molekulární funkční materiály;strojové učení",5,"Nanokrystalografie molekulárních krystalů"
"20-09017Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Karlova","Matematicko-fyzikální fakulta","výpočetní složitost;klon;polymorfismus;řešení rovnic;malcevská podmínka;problém náležení poduniverzu mocniny;problém splnitelnosti omezení",3,"Algoritmy pro algebraické systémy: Struktura a výpočetní složitost"
"20-09029S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav biologie obratlovců AV ČR, v.v.i.",,"(re-)emergentní zoonózy; eko-epidemiologie; surveillance; nové patogeny; viry; bakterie",3,"Odhalování nových zoonotických patogenů z volné přírody"
"20-09038J","Mezinárodní projekty – 2020","Oborová komise společenských a humanitních věd","Ostravská univerzita","Filozofická fakulta","ruská filosofie; česká filosofie; intercultural dialogue; humanita; boholidství; moudrost; svoboda; kreativita; láska",3,"Ruská filosofie ve vztahu k českému myšlení a literatuře od poloviny 19. století do současnosti - interkulturní dialog"
"20-09040L","Lead Agency - 2020","kontrola","Ústav molekulární genetiky AV ČR, v.v.i.",,"Rekombinační hotspoty;meioza;hybridní sterilita;PRDM9;vazebná afinita;myši",3,"ÚLOHA PRDM9 DNA VAZEBNÉ AFINITY V REKOMBINAČNÍ MAPĚ S VYSOKÝM ROZLIŠENÍM A V SAMČÍ FERTILITĚ"
"20-09055S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Fyziologický ústav AV ČR, v.v.i.",,"mikrotubuly;dynamika mikrotubulů;nanosekundové elektrické pulzy;analýza obrazu;virtuální realita",3,"Vliv nanosekundových elektrických pulzů na vlastnosti mikrotubulů v buňkách"
"20-09064S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola finanční a správní, a.s.",,"podniková ekonomika;informatika;Startup;ICT;inovace;high tech;malý a střední podnik;ICT obory;ICT trendy;systémový přístup;účetní  závěrky;perspektivy;systémová dynamika",3,"ICT inovace detekované pomocí Start-upového chování"
"20-09072J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta stavební","Impedance; silikátový kompozit; perkolační práh; mikrostruktura; nanostruktura; dispergace; uhlíkové částice;",3,"Tvorba struktury pokročilých silikátových kompozitů se sníženou impedancí"
"20-09086S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","Farmaceutická fakulta v Hradci Králové","Ledvinná exkrece;buněčné studie in vitro;orgánový model;farmakokinetika;membránové transportéry;perfundovaná ledvina;OCT2;",3,"Hodnocení lékových interakcí pomocí buněčného a orgánového modelu: příklad transportéry zprostředované ledvinné exkrece"
"20-09093Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Jihočeská univerzita v Českých Budějovicích","Fakulta rybářství a ochrany vod","Rak; Proteomika; Regenerace; Ultramikroskopie",3,"BUNĚČNÉ A MOLEKULÁRNÍ UKAZATELE REGENERACE KONČETIN U RAKŮ"
"20-09119L","Lead Agency - 2020","kontrola","Vysoká škola chemicko-technologická v Praze","Fakulta chemické technologie","Železo;vývoj vodíku;vstup vodíku;vodíkové zkřehnutí;vodíkem vyvolané praskání;atmosférická koroze;korozní produkty;fázové složení;detekce vodíku;mikroskopie atomárních sil;Kelvinova sonda",3,"Vliv korozních produktů na bázi železa na absorpci atomárního vodíku"
"20-09135S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Palackého v Olomouci","Lékařská fakulta","syntetické drogy; inhibice CYP; toxikokinetika; metabolismus;kapalinová chromatografie;hmotnostní spektrometrie;plynová chromatografie.",3,"Studium metabolismu nových syntetických drog"
"20-09142S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Jihočeská univerzita v Českých Budějovicích","Fakulta rybářství a ochrany vod","sperma; dozrávání; Chondrostei; Holostei; reprodukční soustava; vylučovací soustava",3,"Biologie spermie ve vztahu ke struktuře urogenitálního systému u původních paprskoploutvých ryb: evoluční pohled"
"20-09157X","EXPRO - 2020","EXPRO","Univerzita Karlova","Lékařská fakulta v Plzni","sulfan;oocyt;embryo;epigenetika;SIRT1",5,"Gasotransmise sulfanem vede k epigenetickým změnám v oocytech a embryích prostřednictvím post-translačních modifikací SIRT1 deacetylázy"
"20-09161S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"diapauza;samec;hmyz;reprodukční soustava;ekdysteroidy;biogenní aminy;RNA interference;RNA-seq;spermatogeneze;",3,"Hormonální řízení samčí reprodukce a reprodukční inhibice během diapauzy ruměnice Pyrrhocoris apterus"
"20-09174S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Přírodovědecká fakulta","enzymová katalýza;proteinové inženýrství;počítačový design;vývoj softwaru;tunely;brány;dynamika;molekulární modelování;transitní kinetika;spektroskopie jednotlivých molekul;organická syntéza",3,"Počítačový design a inženýrství dynamiky proteinů"
"20-09188S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Fakulta humanitních studií","zkušenost; smysl; vědomí; fenomény; virtualita; afektivita; tělo; naturalizace; technologie; divadlo; hudba",3,"Fenomény a obrazy v éře naturalizace a virtuality"
"20-09190S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"Rydbergovy molekuly;dalekodosahová interakce;trilobitové molekuly;víceatomové molekuly;ultrachladné atomy;polární molekuly;rozptylová délka;kvantový defekt;R-matice;Greenova funkce",3,"Víceatomové ultrachladné dalekodosahové Rydbergovy molekuly"
"20-09208Y","Juniorské projekty – 2020","Oborová komise technických věd","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"katalýza; molekulární kyslík; N2O;selektivní oxidace",3,"Nový přístup v oxidační katalýze - využití (di)-alfa kyslíku"
"20-09220S","Standardní projekty – 2020","Oborová komise technických věd","České vysoké učení technické v Praze","Fakulta jaderná a fyzikálně inženýrská","Headway-modelování;teorie dopravy;Fokker-Planckova rovnice;balanční částicové systémy;headway-distribuce;statistická rigidita;",3,"Příčiny a důsledky statistických anomálií v mikrostruktuře dopravních proudů: teoretická studie"
"20-09231S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Mikrobiologický ústav AV ČR, v.v.i.",,"aktinobakterie; regulace; nekódující RNA; biologicko-výpočetní identifikace;",3,"Biologicko-výpočetní identifikace nekódujících regulačních RNA v aktinobakteriích"
"20-09254S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola ekonomická v Praze","Fakulta národohospodářská","multiplikátor;místní rozvoj;aglomerační úspory;hodnocení ekonomických dopadů;dotace;produktivita",3,"Multiplikační efekty v regionálním a lokálním rozvoji"
"20-09265X","EXPRO - 2020","EXPRO","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"zeolit; kationty; čpavek; NO; CO2, N2",5,"Reálné katalyzátory na atomární úrovni pro zásadní katalytické aplikace"
"20-09277S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Tomáše Bati ve Zlíně","Fakulta technologická","Jedlý hmyz; krmivo; Tenebrio molitor; Gryllus assimilis;",3,"Experimentální studie vlivu specifických nutričních vlastností jedlého hmyzu v produkčně potravním systému"
"20-09283S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Fyziologický ústav AV ČR, v.v.i.",,"Hypothalamus;hypertenze;SHR krysy;osmotická a stresem indukovaná stimulace HPA osy;exprese mRNA a proteinu;paraventrikulární jádro;supraoptické jádro;neuronální aktivita;gliotransmitery;signální dráhy;synaptický objemový přenos;exosomy",3,"Hypotalamické vlivy na regulaci esenciální hypertenze"
"20-09296S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Hradec Králové","Filozofická fakulta","Malá Haná;česko-moravské pomezí;jižní Morava;doba římská;sídelní struktura;chronologie;polabští Germáni;Římané;markomanské války;komplexní povrchová prospekce;digitální analýzy archeologických dat",3,"Specifický region Malá Haná a jeho sídelní struktura v době římské"
"20-09306S","Standardní projekty – 2020","Oborová komise technických věd","Ústav termomechaniky AV ČR, v.v.i.",,"vedené akustické vlny;heterogenní struktury;rozptyl vln;laserově-ultrazvukové metody;poruchový počet;homogenizace;počítačová mechanika",3,"Mechanika akustických vlnovodů v komplexních prostředích"
"20-09310S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola ekonomická v Praze","Fakulta financí a účetnictví","Textová analýza;přirozený jazyk;IFRS;lobbování;volby účetních metod",3,"Využití počítačové analýzy přirozeného jazyka v účetním výzkumu"
"20-09323S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykův ústav a Archiv AV ČR, v.v.i.",,"československá filosofie;česká filosofie;dějiny idejí;židovská filosofie;židovské myšlení;",3,"Felix Weltsch, Jindřich Kohn a židovské filosofické myšlení v Československu (1918-1938)"
"20-09334S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Palackého v Olomouci","Cyrilometodějská teologická fakulta","Alzheimerova choroba;demence;muzikoterapie;fyziologická komplexita;růžový šum;rytmus;variabilita srdeční frekvence;",3,"Hudební terapie s uměle zakomponovanou rytmickou komplexitou: Nový nefarmakologický přístup k potlačování projevů demence"
"20-09352S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Palackého v Olomouci","Filozofická fakulta","Zátežové životní situace;vztahová vazba;kvalita života;stres",3,"Proměny zátěžových životních událostí z perspektivy člověka 21. století v kontextu věku a citové vazby"
"20-09375S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ústav experimentální medicíny AV ČR, v.v.i.",,"poranění míchy;hydrogel;elasticita;indukované pluripotentní kmenové buňky",3,"Přemostění míšního poranění pomocí modifikovaných hydrogelů různé tuhosti v kombinaci s neurálními prekurzory z indukovaných pluripotentních buněk"
"20-09404S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Česká zemědělská univerzita v Praze","Fakulta tropického zemědělství","Biodiverzita;Mikrobiální diverzita;Půdní vlastnosti;Sekundární sukcese;Tropické lesy",3,"Vztahy mezi druhovou a genetickou diverzitou rostlin v závislosti na vlastnostech půdy v průběhu sekundárních sukcesních procesů v tropických lesích"
